,,,,change in umol oxygen per ug Chl/L per hour,,,,,,,
  run,date ,temp,umol/L/h,Ch1,Ch2,Ch3,Ch4,,,,
12,2007,25,300,0.027562192,0.018864196,0.076969478,0.043434366,,,,
12,2007,25,440,0.054601614,0.052710745,0.099582043,0.1261988,,,,
12,2007,25,520,0.089037669,0.10678959,0.148344209,0.182502196,,,,
13,2007,25,0,-0.148259318,-0.176355267,-0.144299562,-0.124123123,,,,
13,2007,25,72,-0.112551178,-0.146542323,-0.097023809,-0.094087401,,,,
13,2007,25,120,-0.069435664,-0.099715516,-0.064945778,-0.043645698,,,,
13,2007,25,180,-0.036883062,-0.060830358,-0.023057475,-0.026761353,,,,
13,2007,25,300,0.035425981,0.01621698,0.036304679,0.053756284,,,,
13,2007,25,440,0.093694397,0.071552695,0.115621059,0.093909437,,,,
13,2007,25,520,0.158477041,0.152315034,0.169010292,0.154105798,,,,
14,2707,23,0,-0.090010182,-0.109164384,-0.087885048,-0.077719126,,,,
14,2707,23,72,-0.053485744,-0.059390326,-0.038375781,-0.029306598,,,,
14,2707,23,120,-0.026574627,-0.004053893,0.002131098,-0.007090306,,,,
14,2707,23,180,0.005271663,0.017825911,0.036485033,0.030500334,,,,
14,2707,23,300,0.034554226,0.075998467,0.079996278,0.060680201,,,,
14,2707,23,440,0.080965687,0.128274452,0.099496623,0.126968554,,,,
14,2707,23,520,0.118956909,0.145475455,0.160657523,0.180566461,,,,
15,2707,23,0,-0.078180466,-0.097562137,-0.076087385,-0.065734299,,,,
15,2707,23,72,-0.035042936,-0.043391071,-0.032783652,-0.009533858,,,,
15,2707,23,120,-0.014404938,-0.005399849,0.013691902,0.020750161,,,,
15,2707,23,180,0.01806626,0.024034936,0.036685324,0.048326244,,,,
15,2707,23,300,0.04913542,0.083962042,0.072040714,0.088368447,,,,
15,2707,23,440,0.088424529,0.13347401,0.138593452,0.137696147,,,,
15,2707,23,520,0.142807577,0.163862181,0.167675724,0.190236517,,,,
16,2707,23,0,-0.116450587,-0.144736966,-0.122027051,-0.113432499,,,,
16,2707,23,72,-0.087479155,-0.098358969,-0.083569472,-0.068034892,,,,
16,2707,23,120,-0.04786958,-0.056081517,-0.017096851,-0.034650366,,,,
16,2707,23,180,-0.014436985,-0.001722504,-0.001546248,0.002235249,,,,
