"WL","Baseline","1003-1","1003-2","1003-3","0104-1","0104-2","0104-3","2004-1","2004-2","2004-3","0405-1","0405-2","0405-3","1105-1","1105-2","1105-3","1805-1","1805-2","1805-3"
"3,630000000000000e+2","-4,800494193861220e-2","2,114938968921600e-1","1,847759702180320e-1","1,977748425094340e-1","1,098746241413530e-1","1,514374862375950e-1","1,007564520502060e-1","9,168439494515709e-2","1,102769267587880e-1","9,352109922507739e-2","6,622192986773330e-2","8,532447864171490e-2","7,569213809104290e-2","6,884206391602179e-2","6,223412123192250e-2","7,577311702649830e-2","6,435718947004690e-2","5,882828139470160e-2","5,046001130860380e-2"
"3,640000000000000e+2","-4,763496390417440e-2","2,149498181009330e-1","1,876412527418160e-1","2,011371857810920e-1","1,121207652231550e-1","1,515814054287130e-1","1,022361895425660e-1","9,341244289147610e-2","1,109284053897320e-1","9,492722715911061e-2","6,743956971935840e-2","8,637844373254240e-2","7,720916962537099e-2","7,027635018585460e-2","6,382186103854939e-2","7,649414220330280e-2","6,534083228974330e-2","6,006798950891180e-2","5,104063978390630e-2"
"3,650000000000000e+2","-4,749132360966270e-2","2,177972868211120e-1","1,908916992108010e-1","2,042824132540150e-1","1,133009212547730e-1","1,523239987883020e-1","1,040394484244460e-1","9,490358826519731e-2","1,121170234742920e-1","9,619230021125050e-2","6,865219050280480e-2","8,725092112634290e-2","7,838574111685080e-2","7,169724008841180e-2","6,473614728999801e-2","7,775264714581930e-2","6,684523265896450e-2","6,141101935658570e-2","5,300097011141830e-2"
"3,660000000000000e+2","-4,715199142632440e-2","2,210636661043020e-1","1,935574799269430e-1","2,060631673619830e-1","1,143488652476010e-1","1,547318138759690e-1","1,054814198937230e-1","9,586088153835080e-2","1,136227572362460e-1","9,722344544994931e-2","7,001188004943559e-2","8,809023564674779e-2","7,959372933412370e-2","7,236142607856670e-2","6,569159798685800e-2","7,852909092694280e-2","6,714689891150910e-2","6,160721614539210e-2","5,342289242194930e-2"
"3,670000000000000e+2","-4,668427944674180e-2","2,236606771515270e-1","1,963578070727390e-1","2,074330249136190e-1","1,160373023261620e-1","1,557354629960420e-1","1,064068412310520e-1","9,697761840849890e-2","1,141295509290410e-1","9,793548637940970e-2","7,078152721876250e-2","8,831873056887771e-2","8,012231809635250e-2","7,258066997194390e-2","6,654574236651810e-2","7,898461681969250e-2","6,777048815918020e-2","6,224609641350530e-2","5,418602045587410e-2"
"3,680000000000000e+2","-4,659833280591210e-2","2,266305820681880e-1","1,992724182256310e-1","2,107015965823130e-1","1,165477280179950e-1","1,562226786221490e-1","1,080564702027840e-1","9,838476856862960e-2","1,153544243086860e-1","9,922133932770109e-2","7,174381626359399e-2","8,960530739521021e-2","8,134930934545829e-2","7,405767402535200e-2","6,735056513773180e-2","7,970915801071259e-2","6,883591557308221e-2","6,301280175155501e-2","5,496277722372430e-2"
"3,690000000000000e+2","-4,603371597503880e-2","2,291286983469820e-1","2,013557435372530e-1","2,127919922310780e-1","1,178278952368760e-1","1,568979027685880e-1","1,086074230891630e-1","9,899285412164061e-2","1,152795072873630e-1","9,976448837852630e-2","7,220478324754299e-2","9,041538072026501e-2","8,207267895428851e-2","7,383000464396560e-2","6,794326846278330e-2","8,009467263734330e-2","6,897509540600639e-2","6,337473361972540e-2","5,527455875541420e-2"
"3,700000000000000e+2","-4,595020211422290e-2","2,322982712922680e-1","2,040174000986080e-1","2,148770764553930e-1","1,194335688957540e-1","1,581594071931630e-1","1,107516116881850e-1","1,001862885377060e-1","1,172609914823200e-1","1,013457791602280e-1","7,388892514766699e-2","9,129492530993211e-2","8,339136103472421e-2","7,472399768086840e-2","6,884987934777990e-2","8,124575606691461e-2","7,015829421674030e-2","6,445115360966300e-2","5,637672244344080e-2"
"3,710000000000000e+2","-4,527389247096060e-2","2,342054059496750e-1","2,059437932590800e-1","2,169313310895590e-1","1,196414599083890e-1","1,588579884056530e-1","1,107591435840320e-1","1,006747164134160e-1","1,179101357645520e-1","1,023318542500790e-1","7,460046618653130e-2","9,180084694805690e-2","8,426867847022170e-2","7,555478603836320e-2","6,954071246280461e-2","8,126990643665070e-2","7,031238739031920e-2","6,461293363067290e-2","5,656326101264230e-2"
"3,720000000000000e+2","-4,493761785034240e-2","2,365545016458050e-1","2,088714609914050e-1","2,190868347210300e-1","1,202989969490340e-1","1,600266466553930e-1","1,120662472388300e-1","1,019904464317130e-1","1,192218937810410e-1","1,032568425757060e-1","7,557570478709270e-2","9,261557137617280e-2","8,530250666857619e-2","7,635814508384550e-2","7,067629110971541e-2","8,201074130956970e-2","7,164430175567510e-2","6,539863203042979e-2","5,708589070194350e-2"
