"WL","Baseline","1008-1","1008-2","1008-3","1708-1","1708-2","1708-3","2408-1","2408-2","2408-3","3108-1","3108-2","3108-3","0709-1","0709-2","0709-3","1409-1","1409-2","1409-3","2109-1","2109-2","2109-3","2809-1","2809-2","2809-3","0610-1","0610-2","0610-3","1210-1","1210-2","1210-3","1910-1","1910-2","1910-3","2610-1","2610-2","2610-3","0411-1","0411-2","0411-3","0911-1","0911-2","0911-3","1611-1","1611-2","1611-3","x column","y column","x column 1","y column 1"
"3,600000000000000e+2","-5,076366200910420e-2","1,273926048550360e-1","1,276183599221660e-1","1,234702796466240e-1","1,125345280874820e-1","1,156809004859240e-1","1,154557966963490e-1","9,169238601025610e-2","9,891936065022210e-2","9,584138998590040e-2","1,029170151464940e-1","1,021016611345470e-1","1,067162658937530e-1","8,411871753578800e-2","8,096176647348480e-2","9,297310430672701e-2","6,293990249690259e-2","6,725606384107099e-2","6,003473618912120e-2","6,815196151000750e-2","6,697526716108621e-2","6,727627979238890e-2","5,886139607254160e-2","6,872269221110640e-2","7,774121646719250e-2","7,129586384985701e-2","5,970841355282240e-2","4,855928706605120e-2","7,267602013107920e-2","7,468945673191981e-2","8,139238984046141e-2","5,395961897193450e-2","7,100078714143170e-2","5,419863422308760e-2","3,067775223034720e-2","4,159082779460110e-2","3,433821897181870e-2","7,786201139017259e-2","4,945747954440340e-2","5,527334628177400e-2","4,325894804359370e-2","4,269950179827810e-2","4,612154621053610e-2","6,489566032697330e-2","6,554160415066010e-2","6,616872542146790e-2","3,656250000000000e+2","9,991445003219298e-2","3,656250000000000e+2","1,069628816754667e-1"
"3,610000000000000e+2","-5,022130980541600e-2","1,292651542783740e-1","1,288715661303460e-1","1,254705416678680e-1","1,137956079927330e-1","1,179751014935530e-1","1,174643245295470e-1","9,314779594398400e-2","1,004033441212840e-1","9,728289093545659e-2","1,045304613555070e-1","1,037399910886210e-1","1,085056006064980e-1","8,506615826984330e-2","8,210144076717429e-2","9,475889180819240e-2","6,389181885887921e-2","6,799097864445359e-2","6,106917156951220e-2","6,915544057915740e-2","6,740931557565810e-2","6,832102462006210e-2","5,954820238133440e-2","6,939949619569570e-2","7,884107098845120e-2","7,168346003543390e-2","6,094984703121520e-2","4,989068598547620e-2","7,348445113290469e-2","7,660443734998360e-2","8,279837427741610e-2","5,527425825144610e-2","7,195841238380070e-2","5,521966786965500e-2","3,189368513653720e-2","4,249068493915250e-2","3,515339426994500e-2","7,906935967888549e-2","5,056229521994680e-2","5,653721322073960e-2","4,411937552035130e-2","4,384202581455600e-2","4,707227763120670e-2","6,624128827205020e-2","6,739956545718170e-2","6,736628870397079e-2","3,671875000000000e+2","1,024015484760838e-1","3,671875000000000e+2","1,095131906428594e-1"
"3,620000000000000e+2","-4,935202306428800e-2","1,310683342960350e-1","1,307027846579540e-1","1,264851533773060e-1","1,158616663193230e-1","1,196012123445360e-1","1,188195323316470e-1","9,449472576549810e-2","1,016633392755120e-1","9,892737877898650e-2","1,056255466024650e-1","1,051537907276850e-1","1,099952517298350e-1","8,637080261071150e-2","8,272641437462530e-2","9,569384015723710e-2","6,431248890148810e-2","6,824685664908180e-2","6,171090747628650e-2","6,965971122105860e-2","6,818260662279479e-2","6,897787210237760e-2","6,004591832298800e-2","7,009428584552080e-2","7,980521289515501e-2","7,238726383403010e-2","6,165357402199340e-2","4,987358894105630e-2","7,431592770262890e-2","7,662642426791120e-2","8,360003157272150e-2","5,578451326680790e-2","7,291850532429990e-2","5,608458414670340e-2","3,244737295020530e-2","4,258957081484230e-2","3,543637389707350e-2","8,035320899290370e-2","5,112021494035500e-2","5,714950455958510e-2","4,478759924723180e-2","4,415847719095760e-2","4,806405029430850e-2","6,779299261958050e-2","6,830951929259130e-2","6,896030447198841e-2","3,687500000000000e+2","1,049311841251870e-1","3,687500000000000e+2","1,121102817825511e-1"
"3,630000000000000e+2","-4,952123171074750e-2","1,338558582398990e-1","1,334183750126780e-1","1,293973216884600e-1","1,183670868919900e-1","1,221784050489700e-1","1,215595246013320e-1","9,703771809808549e-2","1,041331838563440e-1","1,013268095216010e-1","1,082428289405100e-1","1,071464112454560e-1","1,124353621875870e-1","8,828067712346741e-2","8,458328862434080e-2","9,813206645938080e-2","6,597181585040530e-2","6,994958244533020e-2","6,382876701050920e-2","7,140701990535320e-2","7,002949988660630e-2","7,070933936058010e-2","6,252337532261310e-2","7,208221499651770e-2","8,141567527792200e-2","7,412208409964730e-2","6,296039271177250e-2","5,179243549020340e-2","7,627216902923901e-2","7,863802942468960e-2","8,544735236622320e-2","5,687836678440980e-2","7,464101721547240e-2","5,819906227896640e-2","3,344515981439020e-2","4,416956320317340e-2","3,716490888076050e-2","8,229409444826090e-2","5,373359330970760e-2","5,925871558038910e-2","4,647312031521250e-2","4,600253882239160e-2","4,948373423948670e-2","6,977153962285780e-2","7,015472481673560e-2","7,103224856838459e-2","3,703125000000000e+2","1,074716073838926e-1","3,703125000000000e+2","1,147169521441222e-1"
"3,640000000000000e+2","-4,907473548497040e-2","1,358971441934750e-1","1,355346885683250e-1","1,318233633985780e-1","1,200263613621120e-1","1,240732811276010e-1","1,239366441310980e-1","9,873854667676320e-2","1,058527576806090e-1","1,028785741435060e-1","1,094358121597680e-1","1,088870218274340e-1","1,139401223414720e-1","8,976060595195030e-2","8,570188424849450e-2","9,911147166305270e-2","6,753671195426500e-2","7,114971980856140e-2","6,484060567016910e-2","7,223066562659210e-2","7,042801947554670e-2","7,197127477244810e-2","6,355109515671160e-2","7,326208983147030e-2","8,232822038007910e-2","7,509910225605181e-2","6,414393706876020e-2","5,258166637320310e-2","7,744105680238790e-2","7,990157408325320e-2","8,708981974818059e-2","5,822583905972820e-2","7,553778205914760e-2","5,957695437311710e-2","3,409559410260290e-2","4,552850724831770e-2","3,782836082401380e-2","8,368760489218710e-2","5,466526768282380e-2","6,100373563152710e-2","4,754532565973060e-2","4,731319807501910e-2","5,077675074668130e-2","7,145110531755720e-2","7,230748759235139e-2","7,258258347422110e-2","3,718750000000000e+2","1,099800689061902e-1","3,718750000000000e+2","1,172860977958918e-1"
"3,650000000000000e+2","-4,880410378450350e-2","1,383079356522210e-1","1,377788443049770e-1","1,336809704175160e-1","1,227738315741190e-1","1,269672162196310e-1","1,262668190113790e-1","1,009674231132520e-1","1,080421423055620e-1","1,049655488111540e-1","1,116087098642470e-1","1,110001424254550e-1","1,160143805079490e-1","9,137678035624880e-2","8,741013241820619e-2","1,010307764956040e-1","6,840493550823240e-2","7,230231720815050e-2","6,677361947642230e-2","7,382415843105870e-2","7,192588887819850e-2","7,350265955419021e-2","6,476926537435400e-2","7,394769426875840e-2","8,362044565471240e-2","7,607672905193200e-2","6,535826235213330e-2","5,339760435737500e-2","7,909062555519621e-2","8,153717970312869e-2","8,854652804699339e-2","5,989607412483920e-2","7,713382952021930e-2","6,146756523868280e-2","3,537714719879510e-2","4,627597954716880e-2","3,902478674892320e-2","8,570638296201290e-2","5,606039231461550e-2","6,274768241353250e-2","4,864660866964320e-2","4,866976544657270e-2","5,224284979903970e-2","7,321149388713510e-2","7,384569090222920e-2","7,457113588833741e-2","3,734375000000000e+2","1,124052913931799e-1","3,734375000000000e+2","1,197641125861052e-1"
"3,660000000000000e+2","-4,831024069658270e-2","1,408968847868800e-1","1,397293347802750e-1","1,362571098456590e-1","1,247409106420330e-1","1,288535564525100e-1","1,284976151160650e-1","1,023050718332900e-1","1,099911798864200e-1","1,066711135388270e-1","1,132261690256490e-1","1,129337989937150e-1","1,179123366820500e-1","9,282097894630330e-2","8,906091774486930e-2","1,030098695902500e-1","6,982278066580259e-2","7,311257357640010e-2","6,758224332665280e-2","7,463994309533810e-2","7,280914723996781e-2","7,437638508434370e-2","6,584099896289219e-2","7,522638617803480e-2","8,469575105951491e-2","7,697104535240200e-2","6,611554118404590e-2","5,425378703347300e-2","7,998918285137461e-2","8,265306106810310e-2","8,981834496157600e-2","6,110726666071140e-2","7,829681889764990e-2","6,208007932176060e-2","3,632027028263760e-2","4,731989031015910e-2","4,017333420822940e-2","8,657788335150920e-2","5,809731905596620e-2","6,407887275239279e-2","4,955365982840100e-2","4,994237100279660e-2","5,311263551766530e-2","7,459925956621299e-2","7,527227369461990e-2","7,585719592230269e-2","3,750000000000000e+2","1,146929499176059e-1","3,750000000000000e+2","1,220967473750587e-1"
"3,670000000000000e+2","-4,807169840399190e-2","1,436229567940540e-1","1,421651599974360e-1","1,383979752481590e-1","1,271598986592900e-1","1,313736030414840e-1","1,311917909594320e-1","1,043098714761910e-1","1,116825258644490e-1","1,085170449771980e-1","1,152746488787660e-1","1,140666117696000e-1","1,197594106392240e-1","9,455595887375930e-2","9,008790068754701e-2","1,046386181812140e-1","7,119851706238180e-2","7,406723951400709e-2","6,920800317233580e-2","7,543917208886920e-2","7,429507524412200e-2","7,558895730431219e-2","6,742358755096890e-2","7,594527036223810e-2","8,639607027508120e-2","7,889008393435330e-2","6,708776328261561e-2","5,564674572291100e-2","8,137729492694210e-2","8,428780370061920e-2","9,140203466379150e-2","6,237989484848880e-2","7,972818482197221e-2","6,348719382936110e-2","3,735463411004060e-2","4,856988658426700e-2","4,134798398192590e-2","8,846046655051811e-2","5,957145955284380e-2","6,579745559050790e-2","5,102263799457440e-2","5,096725487269650e-2","5,481713264854430e-2","7,627533569585690e-2","7,692889760747040e-2","7,770015426863160e-2","3,765625000000000e+2","1,167937741569102e-1","3,765625000000000e+2","1,242369281914476e-1"
"3,680000000000000e+2","-4,791686670576180e-2","1,460986224075060e-1","1,447028814986830e-1","1,409257742727700e-1","1,294284914681340e-1","1,338600437763910e-1","1,333555251320190e-1","1,065058303886500e-1","1,136925336723850e-1","1,106329160731850e-1","1,168490170611260e-1","1,165876437265560e-1","1,220591621168990e-1","9,652376064729560e-2","9,225514415284749e-2","1,063556964099910e-1","7,237305831847800e-2","7,485677629339061e-2","7,086650806625310e-2","7,707133048668579e-2","7,579111382477350e-2","7,743825503702530e-2","6,892367554492770e-2","7,729777592529760e-2","8,864645761061610e-2","7,972565792747819e-2","6,889927703263270e-2","5,660911429700010e-2","8,306003563873659e-2","8,609425748379219e-2","9,296592270164810e-2","6,408266083797150e-2","8,162991299939230e-2","6,504887958162730e-2","3,861948120001110e-2","4,995280726623510e-2","4,258364692259960e-2","9,021215656111179e-2","6,126477396302980e-2","6,739900340012519e-2","5,222288723938860e-2","5,222594395966200e-2","5,609388097692260e-2","7,788112979478789e-2","7,849974921384301e-2","7,974199450339610e-2","3,781250000000000e+2","1,186732006425364e-1","3,781250000000000e+2","1,261536231792390e-1"
"3,690000000000000e+2","-4,719056729314210e-2","1,483860941289560e-1","1,463293192158160e-1","1,429226402752280e-1","1,315096339307230e-1","1,354529717543640e-1","1,355222716754300e-1","1,080011724869350e-1","1,151541923654020e-1","1,119466340566750e-1","1,185451327987300e-1","1,180096174386090e-1","1,238361132162720e-1","9,779690815444229e-2","9,330972428988850e-2","1,082274143264390e-1","7,333215473008610e-2","7,545509807387570e-2","7,224179068956450e-2","7,802108811740211e-2","7,649620866188750e-2","7,834251505564070e-2","6,989104870617800e-2","7,805514161671579e-2","8,944011394981910e-2","8,034577840165510e-2","6,941884913325839e-2","5,763194519042810e-2","8,424703172490110e-2","8,716653699637680e-2","9,419135581646150e-2","6,464288744788530e-2","8,261863367903230e-2","6,612793629668630e-2","3,923412321674100e-2","5,055889858119790e-2","4,319060576898290e-2","9,154596970220349e-2","6,230586953120410e-2","6,883770322066570e-2","5,322678171582050e-2","5,306028358146350e-2","5,738589882665820e-2","7,909358780597610e-2","7,999028550128030e-2","8,075365412024370e-2","3,796875000000000e+2","1,203209931644312e-1","3,796875000000000e+2","1,278404843179297e-1"
